"Timestamp","Please, select your college/department ","Please, specify your program","Which of the following best describes your current status?","How many years into your current program are you?","Do you receive UVM stipend?","Is your stipend...","On the scale of 1-5, where 1 is ""extremely dissatisfied"" and 5 is ""extremely satisfied"", how satisfied are you with your current UVM stipend? ","Do you pay comprehensive fees?","Do you own or rent the house where you currently live?","Do you have any dependants (a child, spouse, parent, or certain other relative to whom you contribute all or a major amount of necessary financial support)?","How much do you pay for rent/ mortgage monthly? Please specify the exact amount in $ that you personally pay. ","Do you pay..","On average, how much do you pay monthly for utilities? (Heat, Electricity, Internet) ","Do you have a budgeted savings per month?"," Please list your top 3 monthly expenses","Please list top 3 things on which you would like to spend more money monthly","Please provide any additional comments or observations"
"2019/02/08 3:55:00 PM EST","COLLEGE OF ARTS AND SCIENCES","English","Master's student","First year","Yes, Full (20h) GTA","9-month stipend?","4","No, my grant/program covers it","Rent","No","$733","Partial amount of the rent/ mortgage","$50-$100","No","Rent, Food, and Recreation","Savings, Books, and Travel",""
"2019/02/08 3:55:10 PM EST","COLLEGE OF NURSING AND HEALTH SCIENCES","Medical laboratory science","Master's student","Second year","No","","","Yes, reduced fee (I am a continuous studies student)","Rent","No","$850","Partial amount of the rent/ mortgage","$150-$200","No","Rent, heating, home maintenance","Food, savings, retirement",""
"2019/02/08 3:56:25 PM EST","COLLEGE OF EDUCATION AND SOCIAL SERVICES","Counseling","Master's student","Second year","No","","","Yes, full fee","Own","No","920.00","Full amount of the rent/ mortgage","Greater than $300","No","Graduate School, Food, Transportation","Savings, food, leisure.","I am not sure what a stipend is in graduate school. I do know I pay a lot of money for a lot of things I don't even get to utilize at this school. The comprehensive fee is ridiculous and unethical to charge students especially ones who don't even do anything on campus."
"2019/02/08 3:57:22 PM EST","COLLEGE OF EDUCATION AND SOCIAL SERVICES","Counseling","Master's student","Second year","No","","","Yes, full fee","Rent","No","$725","Full amount of the rent/ mortgage","$100-$150","Yes","Utilities, rent, food","Books, food, leisure (e.g. gym membership)",""
"2019/02/08 3:58:04 PM EST","COLLEGE OF ARTS AND SCIENCES","","Doctoral student","First year","Yes, Full (20h) GTA","12-month stipend?","2","Yes, full fee","Rent","Yes","610","Full amount of the rent/ mortgage","$50-$100","Yes","Rent, Feeding, Clothing","Savings, clothing, family",""
"2019/02/08 3:58:34 PM EST","COLLEGE OF NURSING AND HEALTH SCIENCES","DEPN 2022","Doctoral student","First year","No","","","Yes, full fee","Own","Yes","1400","Full amount of the rent/ mortgage","$150-$200","No","mortgage, car payments, utilities","retirement savings, kids' college accounts, paying down debts",""
"2019/02/08 3:59:08 PM EST","COLLEGE OF MEDICINE","Cellular and Molecular Biology","Doctoral student","First year","Yes, Full (20h) GTA","12-month stipend?","3","Yes, full fee","Own","No","700","Partial amount of the rent/ mortgage","$200-$300","No","Groceries, car insurance, gas, cell phone","Groceries, pay off mortgage faster, money to save/invest","I live in Hinesburg and commute."
"2019/02/08 4:00:22 PM EST","RUBENSTEIN SCHOOL OF ENVIRONMENT AND NATURAL RESOURCES","","Master's student","Second year","Yes, Full (20h) GTA","9-month stipend?","2","Yes, full fee","Rent","No","650","Partial amount of the rent/ mortgage","$150-$200","Yes","Heat, groceries, electric ","Savings account",""
"2019/02/08 4:01:41 PM EST","RUBENSTEIN SCHOOL OF ENVIRONMENT AND NATURAL RESOURCES","Natural Resources","Master's student","Second year","Yes, Full (20h) GRA","12-month stipend?","3","Yes, full fee","Rent","No","$650","Full amount of the rent/ mortgage","$50-$100","No","Rent, car payment, utilities ","Food, entertainment, savings. ",""
"2019/02/08 4:01:48 PM EST","COLLEGE OF ARTS AND SCIENCES","History","Master's student","First year","Yes, Part-time (10h)","9-month stipend?","2","Yes, full fee","Rent","No","650.00","Partial amount of the rent/ mortgage","$50-$100","Yes","Rent, groceries, books for class","Social events, clothing, food that isn’t a necessity",""
"2019/02/08 4:02:07 PM EST","COLLEGE OF ARTS AND SCIENCES","Experimental psychology","Doctoral student","Fifth year","Yes, Full (20h) GRA","12-month stipend?","3","No, my grant/program covers it","Own","No","1500","Partial amount of the rent/ mortgage","$150-$200","Yes","Housing, car, food","Exercise, social, travel","The cost of living is high in Burlington and not commiserate with current stipend rates. "
"2019/02/08 4:03:34 PM EST","COLLEGE OF MEDICINE","CMB","Doctoral student","Second year","Yes, Full (20h) GTA","12-month stipend?","4","Yes, full fee","Rent","No","1250","Partial amount of the rent/ mortgage","$50-$100","No","Rent, Groceries","",""
"2019/02/08 4:03:36 PM EST","COLLEGE OF MEDICINE","Cellular Molecular and Biomedical Sciences","Doctoral student","Fifth year","Yes, Full (20h) GTA","12-month stipend?","3","Yes, reduced fee (I am a continuous studies student)","Rent","Spouse, dual income","1200","Shared account with spouse","$200-$300","No","Rent, Car Payment, Food","clothing, higher quality food, outings with spouse","I do not know how I could afford to live on my stipend if my spouse didn't also bring in money. Students should not have to rely upon a partner to live here."
"2019/02/08 4:03:52 PM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","Plant and Soil Science ","Doctoral student","First year","Yes, Full (20h) GTA","12-month stipend?","1","Yes, full fee","Rent","No","1300","Full amount of the rent/ mortgage","$50-$100","No","Rent, Groceries, Gas","Groceries, Savings, recreational activities, ",""
"2019/02/08 4:04:59 PM EST","COLLEGE OF ARTS AND SCIENCES","General/Experimental Psychology PhD Program","Doctoral student","First year","Yes, Full (20h) GRA","12-month stipend?","3","No, my grant/program covers it","Rent","No","1250","Full amount of the rent/ mortgage","$100-$150","No","Rent, Groceries, Gas","Savings, Groceries, Activities",""
"2019/02/08 4:06:27 PM EST","GROSSMAN SCHOOL OF BUSINESS","MACC","Master's student","First year","No","","","Yes, full fee","Rent","No","400","Partial amount of the rent/ mortgage","nothing (included in rent)","No","Rent","Food","Entertainment"
"2019/02/08 4:07:06 PM EST","RUBENSTEIN SCHOOL OF ENVIRONMENT AND NATURAL RESOURCES","Natural Resource Management","Master's student","First year","Yes, Full (20h) GRA","12-month stipend?","2","Yes, full fee","Rent","No","900","Full amount of the rent/ mortgage","$50-$100","No","Rent, Food, Utilities","Savings, gym, books",""
"2019/02/08 4:08:06 PM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","Food Systems","Doctoral student","Second year","Yes, Full (20h) GRA","12-month stipend?","3","Yes, full fee","Rent","No","825.00","Full amount of the rent/ mortgage","$50-$100","No","Rent, groceries, credit card dept payment","Food, social activities, medical",""
"2019/02/08 4:08:11 PM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","Plant and Soil Science","Doctoral student","Second year","Yes, Full (20h) GTA","12-month stipend?","1","Yes, full fee","Rent","No","$1300","Full amount of the rent/ mortgage","$50-$100","No","Rent, Comprehensive Fee, Car insurance payment","Savings, student loans, food","The stipend for UVM is not sufficient for the cost of living in Burlington. Housing prices are astronomical when compared to the rest of Vermont and neighboring states. I am barely breaking even and had to take out student loans to ease financial burdens. Furthermore, every year the comprehensive fee increases while the stipend remains the same. Which means every year graduate students take home less money due to increased fees and inflation.   

Additionally, the way that the 1098 is handled is different than my previous university. At both universities I was given a waiver for student health insurance but at UVM the cost of the covered health insurance is reported on my 1098. This makes it seem on my tax return that I received extra funding lowering my refund amount. 

In all I believe to make UVM attractive to graduate students and keep them happy the stipend needs to be increased to ~31,000."
"2019/02/08 4:10:04 PM EST","COLLEGE OF NURSING AND HEALTH SCIENCES","DNP","Doctoral student","Third year","No","","","Yes, full fee","Own","Yes","$800","Full amount of the rent/ mortgage","$100-$150","No","Mortgage, Student Loans, Car loan","Student loans",""
"2019/02/08 4:10:18 PM EST","COLLEGE OF NURSING AND HEALTH SCIENCES","","Doctoral student","First year","No","","","Yes, full fee","Own","Yes","2600","Full amount of the rent/ mortgage","Greater than $300","Yes","Mortgage, car,  second car","Groceries, eating out",""
"2019/02/08 4:12:26 PM EST","COLLEGE OF ENGINEERING AND MATHEMATICAL SCIENCES","Civil and Environmental Engineering","Doctoral student","First year","Yes, Full (20h) GRA","9-month stipend?","3","Yes, full fee","Rent","Yes","525","Partial amount of the rent/ mortgage","Less than $50","Yes","Rent, Parents, Food","",""
"2019/02/08 4:15:09 PM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","Plant and soil science ","Master's student","First year","Yes, Full (20h) GRA","12-month stipend?","4","No, I am not required to pay the fees","Rent","No","$300","Full amount of the rent/ mortgage","nothing (included in rent)","No","Gas, groceries, car insurance ","",""
"2019/02/08 4:15:33 PM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","Plant Biology","Doctoral student","First year","Yes, Full (20h) GTA","12-month stipend?","3","Yes, full fee","Rent","No","1100","Full amount of the rent/ mortgage","$50-$100","Yes","Rent, groceries, utilities","Savings, travel, clothing",""
"2019/02/08 4:15:52 PM EST","COLLEGE OF MEDICINE","CMB","Doctoral student","Third year","Yes, Full (20h) GTA","12-month stipend?","4","Yes, full fee","Rent","No","$950.00","Full amount of the rent/ mortgage","$50-$100","Yes","Rent, car loan, food","Food, travel, student loan payments",""
"2019/02/08 4:21:52 PM EST","COLLEGE OF ENGINEERING AND MATHEMATICAL SCIENCES","Biomedical Engineering","Master's student","First year","No","","","Yes, reduced fee (I am a continuous studies student)","Rent","Yes","1500","Full amount of the rent/ mortgage","$100-$150","Yes","Housing, Food, Gas","Research materials, food, family ",""
"2019/02/08 4:26:42 PM EST","COLLEGE OF ENGINEERING AND MATHEMATICAL SCIENCES","Computer Science","Doctoral student","Forth year","Yes, Full (20h) GRA","12-month stipend?","5","Yes, full fee","Rent","No","750","Full amount of the rent/ mortgage","$100-$150","Yes","Rent, Food, Entertainment","Travel, Food",""
"2019/02/08 4:27:27 PM EST","COLLEGE OF EDUCATION AND SOCIAL SERVICES","Masters of Special Education","Master's student","First year","No","","","Yes, full fee","Rent","Yes","$900","Full amount of the rent/ mortgage","$200-$300","No","Rent, Internet, Food","Food, and Rent","Many of my classes assume that I have access to the internet 24/7, with how expensive my internet bill is, it would be the first thing I would cut but currently can not because of classes alone. "
"2019/02/08 4:27:55 PM EST","Other","Continuing ed","Master's student","First year","No","","","Yes, full fee","Rent","No","900","Full amount of the rent/ mortgage","Less than $50","No","Food, gas, utilities","",""
"2019/02/08 4:29:34 PM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","MPA","Master's student","Second year","Yes, Full (20h) GRA","12-month stipend?","4","No, my grant/program covers it","Rent","No","750","Partial amount of the rent/ mortgage","$50-$100","No","Rent, utilities, food","Rent, food, savings",""
"2019/02/08 4:34:14 PM EST","RUBENSTEIN SCHOOL OF ENVIRONMENT AND NATURAL RESOURCES","Masters of Natural Resources (MS, Thesis)","Master's student","Second year","Yes, Full (20h) GTA","9-month stipend?","3","Yes, full fee","Rent","No","675","Partial amount of the rent/ mortgage","$50-$100","No","Rent, food, undergraduate tuition loan payments","Myself - better housing, better quality food, pay off loans faster","I’m extremely frugal and barely make ends meet, so I have a side job. I wish I didn’t have to have one."
"2019/02/08 4:34:25 PM EST","COLLEGE OF ENGINEERING AND MATHEMATICAL SCIENCES","CS","Master's student","Second year","Yes, Full (20h) GTA","9-month stipend?","2","Yes, full fee","Rent","No","1500","Full amount of the rent/ mortgage","nothing (included in rent)","No","Rent, Food, Gas","Debt, Recreation, Food","When the stipend allows us to qualify for food assistance from the state through 3Squares, that may be a sign that this is a criminally low amount to live on.  It is accepted as tradition and a form of hazing.  Especially in the Burlington area, there is absolutely no way to live in a dignified situation without taking additional loans."
"2019/02/08 4:38:13 PM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","MPA","Master's student","First year","No","","","Yes, full fee","Rent","No","1200","Full amount of the rent/ mortgage","$50-$100","No","Travel, food, rent","trainings/conferences, books, food",""
"2019/02/08 4:40:41 PM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","PBIO","Doctoral student","Forth year","Yes, Full (20h) GTA","12-month stipend?","5","Yes, reduced fee (I am a continuous studies student)","Rent","No","1270","Full amount of the rent/ mortgage","$200-$300","No","rent, food, utilities","savings","I could be paying less rent. I chose to live alone for my last 1-2 years of my PhD."
"2019/02/08 4:42:12 PM EST","RUBENSTEIN SCHOOL OF ENVIRONMENT AND NATURAL RESOURCES","Natural resources","Doctoral student","Third year","Yes, Mixed full-time (20h), GRA+GTA","12-month stipend?","3","Yes, full fee","Own","Yes","1000","Partial amount of the rent/ mortgage","$150-$200","No","Mortgage, food, utilities","Food, travel, kids clothing/gear","Burlington is expensive. I think we should be paid more. Also I think the comp fees should be paid for by uvm. "
"2019/02/08 4:43:56 PM EST","COLLEGE OF EDUCATION AND SOCIAL SERVICES","MSW","Master's student","First year","No","","","Yes, full fee","Rent","No","$700","Partial amount of the rent/ mortgage","$50-$100","No","Rent, groceries, car","Savings, going out for dinner, travel","UVM’s high in-state tuition prevents me from having comprehensive savings. "
"2019/02/08 4:46:47 PM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","Plant Biology","Doctoral student","First year","Yes, Mixed full-time (20h), GRA+GTA","12-month stipend?","3","Yes, full fee","Rent","Yes","700","Full amount of the rent/ mortgage","$100-$150","No","Rent, Grocery, Utilities","Books, Food, Clothes","The rent and other living expense are too high for a grad student living in Vermont. An increase in income to help ease this constraint would be gladly welcomed."
"2019/02/08 4:47:44 PM EST","COLLEGE OF ENGINEERING AND MATHEMATICAL SCIENCES","Computer science","Master's student","First year","No","","","Yes, full fee","Rent","No","775","Full amount of the rent/ mortgage","$50-$100","No","Rent, utilities, food","Food, heat",""
"2019/02/08 4:55:34 PM EST","COLLEGE OF ARTS AND SCIENCES","Clinical Psychology","Doctoral student","Six years and more","Yes, Full (20h) GRA","12-month stipend?","4","Yes, full fee","Own","No","600.00","Partial amount of the rent/ mortgage","$200-$300","No","Mortgage, condo association fees, car payments","Savings, travel, food",""
"2019/02/08 4:56:24 PM EST","RUBENSTEIN SCHOOL OF ENVIRONMENT AND NATURAL RESOURCES","Forest Ecology","Master's student","First year","Yes, Mixed full-time (20h), GRA+GTA","9-month stipend?","4","Yes, full fee","Rent","No","566","Full amount of the rent/ mortgage","$50-$100","Yes","Rent, utilities, then groceries ","groceries, savings, entertainment",""
"2019/02/08 5:01:26 PM EST","Other","MPH","Master's student","First year","No","","","Yes, full fee","Rent","No","600","Partial amount of the rent/ mortgage","$200-$300","No","Rent/utilities, food, gas","Outdoor activities, travel, savings",""
"2019/02/08 5:02:06 PM EST","CROSS COLLEGE INTERDISCIPLINARY","Cellular, Molecular, and Biomedical Science","Doctoral student","Third year","Yes, Full (20h) GRA","12-month stipend?","3","Yes, full fee","Rent","No","900","Full amount of the rent/ mortgage","$50-$100","No","","",""
"2019/02/08 5:03:19 PM EST","COLLEGE OF ENGINEERING AND MATHEMATICAL SCIENCES","Civil and emotional engineering ","Doctoral student","First year","No","","","Yes, full fee","Rent","No","770","Full amount of the rent/ mortgage","$100-$150","No","Internet , electricity, gas","",""
"2019/02/08 5:04:29 PM EST","COLLEGE OF ARTS AND SCIENCES","Chemistry","Doctoral student","First year","Yes, Full (20h) GTA","Doesn't apply","4","Yes, full fee","Rent","No","875","Full amount of the rent/ mortgage","$50-$100","Yes","rent, student loans, groceries","student loans, retirement, fun extra stuff",""
"2019/02/08 5:06:16 PM EST","COLLEGE OF EDUCATION AND SOCIAL SERVICES","MSW","Master's student","First year","No","","","Yes, full fee","Own","Yes","1400.00","Full amount of the rent/ mortgage","Greater than $300","No","rent, food, utilities","paying down debt, me and me",""
"2019/02/08 5:14:42 PM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","Animal Science","Master's student","Third year","Yes, Full (20h) GTA","12-month stipend?","4","Yes, full fee","Rent","No","$800/month","Full amount of the rent/ mortgage","$100-$150","No","Rent, utilities, food","Savings, food, social events","It would be nice to have an amount of a stipend deposited into a retirement savings account. "
"2019/02/08 5:17:05 PM EST","COLLEGE OF EDUCATION AND SOCIAL SERVICES","EDLP","Doctoral student","Third year","Yes, Mixed full-time (20h), GRA+GTA","9-month stipend?","1","Yes, full fee","Own","Yes","1070","Partial amount of the rent/ mortgage","$200-$300","Yes","Mortgage, utilities, groceries","Healthier food, self-care, home upkeep","The current stipend is barely livable for those of us supporting children or family. "
"2019/02/08 5:20:16 PM EST","COLLEGE OF EDUCATION AND SOCIAL SERVICES","Special Education","Master's student","First year","No","","","Yes, full fee","Rent","No","800","Full amount of the rent/ mortgage","$200-$300","No","rent, student loans, food","Saving for a house, my family, paying off my student debt","The scholarships available are limited and only cover 25% of tuition prior to additional fees, books, and unexpected costs."
"2019/02/08 5:21:36 PM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","Animal science ","Master's student","First year","Yes, Full (20h) GTA","12-month stipend?","2","Yes, full fee","Rent","No","860.00","Full amount of the rent/ mortgage","nothing (included in rent)","Yes","Gas Groceries student fees","",""
"2019/02/08 5:21:46 PM EST","COLLEGE OF MEDICINE","Cellular molecular biomedical sciences","Doctoral student","Forth year","Yes, Full (20h) GRA","12-month stipend?","3","Yes, reduced fee (I am a continuous studies student)","Rent","No","750","Full amount of the rent/ mortgage","$50-$100","No","Food, general supply, gas","Clothes, travel, restaurant",""
"2019/02/08 5:29:27 PM EST","COLLEGE OF ENGINEERING AND MATHEMATICAL SCIENCES","Civil","Doctoral student","Second year","Yes, Full (20h) GRA","12-month stipend?","4","Yes, full fee","Rent","No","650","Full amount of the rent/ mortgage","$50-$100","No","Rent, Food, Phone","None",""
"2019/02/08 5:31:02 PM EST","COLLEGE OF ARTS AND SCIENCES","English","Master's student","Second year","Yes, Full (20h) GTA","9-month stipend?","3","No, my grant/program covers it","Rent","No","600","Full amount of the rent/ mortgage","Less than $50","Yes","Rent, groceries, gas","Travel, car repair, books",""
"2019/02/08 5:31:04 PM EST","COLLEGE OF MEDICINE","CMB","Doctoral student","Third year","Yes, Full (20h) GRA","12-month stipend?","3","Yes, full fee","Rent","No","650","Partial amount of the rent/ mortgage","$150-$200","No","Food, rent, car","Savings, savings, savings",""
"2019/02/08 5:33:18 PM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","Plant Biology ","Doctoral student","Third year","Yes, Mixed full-time (20h), GRA+GTA","12-month stipend?","2","Yes, full fee","Rent","Yes","$895","Full amount of the rent/ mortgage","$100-$150","No","Rent, Groceries, Car","Travel, Food, dental insurance ","I’m disappointed with the current stipend with this scorching living expenses. I’ll be extremely disappointed if UVM doesn’t  increase the stipend from 2019 academic year."
"2019/02/08 5:33:22 PM EST","CROSS COLLEGE INTERDISCIPLINARY","MPA & MPH","Master's student","Second year","No","",""," No Tuition remission ","Rent","Yes","$800","Partial amount of the rent/ mortgage","$100-$150","Yes","Rent, cellphone, food ","Travel ",""
"2019/02/08 5:34:00 PM EST","Other","English","Master's student","First year","No","","","Yes, full fee","Rent","No","600","Full amount of the rent/ mortgage","$50-$100","Yes","Food, Utilities, Gas.","Books, School supplies, Heating.","I freeze in the winter to save money from spending on heat - it's a rough time."
"2019/02/08 5:38:00 PM EST","COLLEGE OF ENGINEERING AND MATHEMATICAL SCIENCES","Computer Science","Doctoral student","Second year","No","","","Yes, full fee","Rent","No","1100","Full amount of the rent/ mortgage","$200-$300","No","Food, Rent, Electric","Savings, Retirement, Travel","It's very expensive to live in Burlington, and having to pay the full comprehensive fee every semester feels like a petty punch-in-the-gut every term for students who are already being underpaid for the drastic amounts of overtime a graduate degree requires. Also, the student insurance plan doesn't even cover an ambulance from campus to the hospital on campus."
"2019/02/08 5:42:55 PM EST","COLLEGE OF ARTS AND SCIENCES","Clinical Psychology ","Doctoral student","First year","Yes, Full (20h) GRA","12-month stipend?","2","Yes, full fee","Rent","No","290","Partial amount of the rent/ mortgage","$150-$200","Yes","Rent, car, medical bills, food ","Retirement, fun",""
"2019/02/08 5:45:29 PM EST","COLLEGE OF ENGINEERING AND MATHEMATICAL SCIENCES","Computer science","Doctoral student","Second year","Yes, Full (20h) GTA","9-month stipend?","1","Yes, full fee","Rent","No","1120","Partial amount of the rent/ mortgage","Greater than $300","No","Rent, Utilities, bread","food, entertainment, dating ","I have to borrow money"
"2019/02/08 5:46:40 PM EST","COLLEGE OF ENGINEERING AND MATHEMATICAL SCIENCES","Computer Science","Doctoral student","Second year","Yes, Full (20h) GRA","12-month stipend?","3","Yes, full fee","Rent","Yes","2100","Full amount of the rent/ mortgage","$100-$150","No","Rent, Groceries, Utilities","Kids Recreational Activities, Pre-School, Family Entertainment","I am probably not the normal since I have. wife and 2 kids, but essentially I have to take out the max amount of student loans (then I appeal for more) to be able to provide for my family every month with very few extras. However, at the same time GRA seem very generous and it is only for a short time of life so it makes it worth it."
"2019/02/08 5:50:22 PM EST","COLLEGE OF EDUCATION AND SOCIAL SERVICES","Leadership and Policy","Doctoral student","Fifth year","No","","","Depending on number of credits","Own","Yes","$1,200.00","Full amount of the rent/ mortgage","$200-$300","No","Mortgage, car (including loan pump, fuel, maintenance), food","Savings",""
"2019/02/08 5:54:55 PM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","Dietetics ","Master's student","First year","No","","","Yes, full fee","Other:","No","0","None","nothing (included in rent)","No","Food, gas, coffee","",""
"2019/02/08 6:02:28 PM EST","COLLEGE OF NURSING AND HEALTH SCIENCES","","Doctoral student","Third year","No","","","Yes, full fee","Rent","No","1200","Full amount of the rent/ mortgage","$150-$200","No","Rent, utilities, food","Savings, travel, food",""
"2019/02/08 6:02:37 PM EST","COLLEGE OF ARTS AND SCIENCES","Greek and Latin ","Master's student","First year","Yes, Part-time (10h)","9-month stipend?","3","No, my grant/program covers it","Rent","No","700","Full amount of the rent/ mortgage","nothing (included in rent)","No","loans, insurance, groceries","groceries, savings, student loans",""
"2019/02/08 6:03:32 PM EST","GROSSMAN SCHOOL OF BUSINESS","Accountancy","Master's student","First year","No","","","Yes, full fee","Rent","No","1300","Full amount of the rent/ mortgage","$150-$200","No","Tuition, Rent, Health Insurance","Food, study materials, clothes",""
"2019/02/08 6:04:08 PM EST","COLLEGE OF EDUCATION AND SOCIAL SERVICES","MSW","Master's student","Second year","No","","","Yes, full fee","Rent","No","275","Partial amount of the rent/ mortgage","Less than $50","No","Auto loan, groceries, rent","Savings, social outings, community events ",""
"2019/02/08 6:07:13 PM EST","COLLEGE OF ARTS AND SCIENCES","Biology","Doctoral student","Six years and more","Yes, Full (20h) GTA","9-month stipend?","4","Yes, reduced fee (I am a continuous studies student)","Own","Yes","1400","Partial amount of the rent/ mortgage","$200-$300","No","Daycare, mortgage, phone bill","Food, experiences with my family, childcare","our department has been wonderful about supporting me despite the low stipend. "
"2019/02/08 6:10:32 PM EST","RUBENSTEIN SCHOOL OF ENVIRONMENT AND NATURAL RESOURCES","Natural Resources","Master's student","First year","Yes, Full (20h) GTA","9-month stipend?","2","Yes, full fee","Rent","No","600","Partial amount of the rent/ mortgage","$100-$150","No","Rent, utilities, groceries","Savings, savings, savings","I'd like to be able to put more money towards savings"
"2019/02/08 6:12:22 PM EST","COLLEGE OF ARTS AND SCIENCES","Materials Science","Doctoral student","Fifth year","Yes, Full (20h) GRA","12-month stipend?","2","Yes, full fee","Own","Yes","$1400","Full amount of the rent/ mortgage","Greater than $300","No","Mortgage, Heat, Electricity","Groceries, family needs, personal hobbies","Every other graduate student I have spoken to at other schools makes significantly more than me."
"2019/02/08 6:21:02 PM EST","COLLEGE OF MEDICINE","","Master's student","First year","No","","","Yes, full fee","Rent","Yes","1445","Full amount of the rent/ mortgage","$50-$100","No","Daycare, appointment rent, food ","",""
"2019/02/08 6:22:34 PM EST","COLLEGE OF EDUCATION AND SOCIAL SERVICES","clinical mental health counseling","Master's student","Second year","No","","","Yes, full fee","Rent","No","$690","Full amount of the rent/ mortgage","$50-$100","No","Rent, Groceries, Gas and supplies for my unpaid internship that is required in my program","Self-care (yoga/gym membership), my dog, outings with friends ","an unpaid internship is very difficult to manage on top of school costs, rent is crazy high. Any help at all would be beneficial "
"2019/02/08 6:27:45 PM EST","COLLEGE OF MEDICINE","Cellular, Molecular, and Biomedical Science","Doctoral student","Second year","Yes, Full (20h) GTA","12-month stipend?","5","Yes, full fee","Rent","No","650","Partial amount of the rent/ mortgage","$50-$100","Yes","Rent, groceries, utilities","Savings, retirement, groceries",""
"2019/02/08 6:35:22 PM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","Plant Biology","Doctoral student","Fifth year","Yes, Full (20h) GRA","12-month stipend?","3","Yes, reduced fee (I am a continuous studies student)","Rent","No","620","Full amount of the rent/ mortgage","$50-$100","Yes","rent, car, food","savings, food, clothes","If you pay peanuts, you get monkeys. Increase the stipend to recruit better graduate students!"
"2019/02/08 6:35:54 PM EST","COLLEGE OF ENGINEERING AND MATHEMATICAL SCIENCES","CSDS","Doctoral student","First year","Yes, Full (20h) GRA","12-month stipend?","2","Yes, full fee","Rent","No","700","Full amount of the rent/ mortgage","$50-$100","No","Rent, Food (thats all I can afford)","",""
"2019/02/08 6:36:26 PM EST","COLLEGE OF ENGINEERING AND MATHEMATICAL SCIENCES","Biomedical engineering ","Master's student","First year","No","","","","Rent","No","900.00","Full amount of the rent/ mortgage","$100-$150","No","Rent, utilities, groceries","Traveling home, groceries, savings",""
"2019/02/08 6:47:58 PM EST","GROSSMAN SCHOOL OF BUSINESS","MAcc","Master's student","First year","No","","","Yes, full fee","Rent","No","700","Full amount of the rent/ mortgage","$50-$100","Yes","rent, food, textbooks","Food, massages, car",""
"2019/02/08 6:52:31 PM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","Animal Sci and Food & Nutrition Sci","Doctoral student","Second year","Yes, Full (20h) GTA","12-month stipend?","4","Yes, full fee","Rent","No","700","Full amount of the rent/ mortgage","nothing (included in rent)","No","Groceries","Travel",""
"2019/02/08 6:52:41 PM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","Pharmacology","Master's student","First year","No","","","Yes, full fee","Rent","No","795","Full amount of the rent/ mortgage","$50-$100","Yes","Rent, groceries, utilities","groceries, take out, gym",""
"2019/02/08 6:53:05 PM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","Plant Biology","Master's student","Second year","Yes, Full (20h) GTA","12-month stipend?","2","Yes, full fee","Rent","No","1000","Partial amount of the rent/ mortgage","$150-$200","No","Rent, insurance, utilities ","Savings, food",""
"2019/02/08 7:08:43 PM EST","COLLEGE OF ARTS AND SCIENCES","Historic Preservation","Master's student","First year","Yes, Part-time (10h)","Other","3","Yes, full fee","Rent","No","$900/month","Full amount of the rent/ mortgage","nothing (included in rent)","No","Rent, bills, food","Savings account, personal study trips, visiting friends & family",""
"2019/02/08 7:25:59 PM EST","COLLEGE OF NURSING AND HEALTH SCIENCES","DNP","Doctoral student","First year","No","","","Yes, full fee","Rent","No","$800","Partial amount of the rent/ mortgage","$50-$100","No","Rent, food, cable/internet ","Exercise, self care, travel",""
"2019/02/08 7:26:02 PM EST","COLLEGE OF EDUCATION AND SOCIAL SERVICES","School Counseling","Master's student","Third year","No","","","No, my grant/program covers it","Own","Yes","$1650.00","Partial amount of the rent/ mortgage","Greater than $300","No","Mortgage, Food, Car Payment","Savings, Vacation, my family",""
"2019/02/08 7:33:40 PM EST","COLLEGE OF ENGINEERING AND MATHEMATICAL SCIENCES","","Master's student","Second year","Yes, Full (20h) GTA","Other","4","Yes, full fee","Rent","No","$600","Full amount of the rent/ mortgage","$50-$100","Yes","Rent, Groceries, Utilities","",""
"2019/02/08 7:38:25 PM EST","COLLEGE OF EDUCATION AND SOCIAL SERVICES","Social work","Master's student","Second year","No","","","Yes, full fee","Rent","No","935","Partial amount of the rent/ mortgage","$50-$100","No","Food, utilities, rent","Travel, clothing, seminars",""
