University,Department,Overall_Pay,LW_Ratio,Academic_Year,Program_Year,Department_clean
Baylor University (BU),Physics,21000,1.06,2018-2019,1st,physics
University of North Carolina - Chapel Hill (UNC),Chemistry,29000,1.3,2019-2020,5th,chemistry
Virginia Tech,School of Plant and Environmental Sciences,21200,1.01,2019-2020,4th,agriculture
University of North Carolina - Greensboro (UNCG),Human development and family studies,15000,0.7,2018-2019,5th,human development and family studies
University of Florida (UF),Molecular Genetics and Microbiology,26600,1.17,2018-2019,3rd,biology
University of Florida (UF),Psychology,31000,1.36,2019-2020,1st,psychology
University of Wisconsin - Madison (UW),Chemical and Biological Engineering,28900,1.27,2019-2020,2nd,chemical and biological engineering
Stanford University (SU),Biosciences,40800,1.42,2018-2019,1st,biosciences
Vanderbilt University,Cancer Biology,31500,1.37,2018-2019,4th,biology
University of Michigan - Ann Arbor (UM),Chemistry,32000,1.39,2018-2019,3rd,chemistry
University of Nebraska - Lincoln (NU),Psychology,19464,1,2017-2018,5th,psychology
University of Maryland - College Park (UMD),Electrical & Computer Engineering,32100,1.06,2018-2019,3rd,computer science
Massachusetts Institute of Technology (MIT),Biology,37800,1.35,2019-2020,6th and up,biology
Northeastern University (NU),Applied Psychology,24000,0.84,2015-2016,2nd,psychology
University of Illinois - Chicago (UIC),Biological Sciences,23000,0.95,2019-2020,4th,biological sciences
Stanford University (SU),Biology,44270,1.54,2018-2019,4th,biology
CUNY - City College,Biology,29000,0.98,2019-2020,3rd,biology
University of California - Berkeley,"Environmental Science, Policy, & Management",30000,1.08,2019-2020,4th,"environmental science, policy, & management"
Vanderbilt University,Economics,35500,1.55,2019-2020,5th,economics
Washington University in St. Louis (Wash U),Genetics,30500,1.48,2019-2020,6th and up,biology
Indiana University,Physics,23400,1.08,2019-2020,5th,physics
University of Colorado - Boulder (UCB),Computer Science,31000,1.22,2018-2019,4th,computer science
Rockefeller University,Biological Sciences,41700,1.4,2018-2019,5th,biological sciences
University of Pennsylvania,Cell and Molecular Biology,34000,1.41,2019-2020,3rd,biology
Ohio State University (OSU),School of Communication,25236,1.26,2019-2020,1st,communication
University of Minnesota - Twin Cities (UM),Plant Pathology,20200,0.88,2019-2020,1st,agriculture
University of Oklahoma (OU),Industrial and systems engineering,14900,0.74,2019-2020,NA,industrial and systems engineering
University of Pennsylvania,Bioengineering,37000,1.53,2019-2020,1st,bioengineering
University of Virginia (UVA),Chemistry,27000,1.18,2018-2019,1st,chemistry
University of Delaware (UD),Biological Sciences,25412,1,2018-2019,4th,biological sciences
University of Wisconsin - Madison (UW),Statistics,23500,1.03,2018-2019,2nd,statistics
University of North Carolina - Chapel Hill (UNC),Nutrition,29000,1.3,2018-2019,3rd,nutrition
University of Michigan - Ann Arbor (UM),Chemistry,33450,1.45,2019-2020,3rd,chemistry
University of Texas - Austin (UT),Educational Psychology,18000,0.79,2018-2019,4th,psychology
Ohio State University (OSU),Biomedical Informatics,30500,1.52,2018-2019,NA,biomedical informatics
University of California - Davis (UCD),Molecular and Cell Biology,33533,1.4,2018-2019,3rd,biology
University of Akron,Polymer Science,23400,1.18,2019-2020,3rd,polymer science
Harvard University (HU),Astrophysics,37932,1.32,2018-2019,4th,physics
Washington University in St. Louis (Wash U),Molecular Cellular Biology,30500,1.48,2018-2019,2nd,biology
Purdue University - West Lafayette,"Earth, Atmospheric, and Planetary Sciences",23404,1.11,2019-2020,3rd,geoscience
University of Notre Dame (ND),"Chemical and Biomolecular Engineering, PhD",29928,1.46,2018-2019,5th,"chemical and biomolecular engineering, phd"
Oregon State University (OSU),Crop and Soil Science/ Soil Science Program,24349,1.17,2019-2020,2nd,agriculture
Vanderbilt University,"Pathology, Microbiology, and Immunology",31500,1.37,2018-2019,3rd,biology
University of Pennsylvania,Biology,32000,1.33,2019-2020,2nd,biology
Stanford University (SU),Stem cell biology,44000,1.53,2018-2019,5th,biology
University of California - Riverside (UCR),Chemistry,29000,1.2,2018-2019,2nd,chemistry
Purdue University - West Lafayette,Entomology,18000,0.85,2019-2020,2nd,entomology
Rochester Institute of Technology (RIT),Astrophysical sciences and technology,26667,1.25,2019-2020,3rd,astrophysical sciences and technology
Princeton University,Molecular Biology,31700,1.25,2018-2019,1st,biology
Mount Sinai School of Medicine,Neuroscience,40000,1.35,2019-2020,1st,neuro
University of Texas - Austin (UT),Integrative Biology,27000,1.18,2019-2020,3rd,biology
University of Texas - Austin (UT),Chemistry,27000,1.18,2019-2020,1st,chemistry
University of Washington (UW),Biochemistry,33800,1.45,2018-2019,5th,chemistry
University of Wisconsin - Madison (UW),Industrial and Systems Engineering,25549,1.12,2019-2020,2nd,industrial and systems engineering
University of Tennessee - Knoxville,NA,14997,0.71,2017-2018,5th,NA
University of Florida (UF),Biomedical Engineering,29250,1.29,2019-2020,3rd,biomedical engineering
University of California - Santa Barbara (UCSB),Geography,34000,1.29,2019-2020,1st,geoscience
University of Washington (UW),Mathematics,24984,1.07,2018-2019,2nd,mathematics
Lehigh University,Biological sciences,25000,1.12,2018-2019,5th,biological sciences
Mount Sinai School of Medicine,Neuroscience,40000,1.35,2019-2020,4th,neuro
University of North Carolina - Chapel Hill (UNC),Chemistry,28000,1.26,2018-2019,1st,chemistry
Kansas State University (K-State),Genetics,24500,1.11,2017-2018,5th,biology
University of Florida (UF),Agricultural and Biological Engineering,22900,1.01,2018-2019,4th,agriculture
University of Pennsylvania,Neuroscience,34000,1.41,2019-2020,4th,neuro
Washington University in St. Louis (Wash U),Computational and Data Sciences,31000,1.5,2019-2020,2nd,computational and data sciences
Pennsylvania State University (Penn State),Materials Science and Engineering,29000,1.29,2019-2020,NA,materials science and engineering
Cornell University (CU),Nutritional Sciences,35800,1.48,2018-2019,5th,nutritional sciences
CUNY Graduate School and University Center,French,25000,0.94,2010-2011,6th and up,french
University of Tennessee Health Science Center,PhD Biomedical Sciences,25800,1.15,2019-2020,3rd,phd biomedical sciences
Wake Forest University (WFU),Biology,20850,0.96,2019-2020,6th and up,biology
University of Southern California (USC),Chemical Engineering,31700,1.22,2019-2020,4th,chemical engineering
University of Southern California (USC),Chemical Engineering,31700,1.22,2018-2019,4th,chemical engineering
Boise State University (BSU),Materials Science And Engineering,27000,1.37,2019-2020,1st,materials science and engineering
University of Utah,Mechanical engineering,21100,0.95,2018-2019,3rd,mechanical engineering
Cornell University (CU),Entomology,33152,1.37,2016-2017,1st,entomology
Georgia State University (GSU),Psychology / Cognitive Sciences,30500,1.31,2015-2016,5th,psychology
Georgia State University (GSU),Psychology / Cognitive Sciences,29500,1.27,2015-2016,4th,psychology
Georgia State University (GSU),Psychology / Cognitive Sciences,22500,0.97,2015-2016,3rd,psychology
Georgia State University (GSU),Psychology / Cognitive Sciences,17500,0.75,2015-2016,2nd,psychology
Georgia State University (GSU),Psychology / Cognitive Sciences,16500,0.79,2014-2015,1st,psychology
Cornell University (CU),Entomology,36000,1.48,2018-2019,3rd,entomology
University of Wisconsin - Madison (UW),Entomology,23216,1.02,2019-2020,2nd,entomology
University of North Carolina - Chapel Hill (UNC),Political Science,20000,0.9,2018-2019,4th,political science
University of Alabama - Birmingham (UAB),Biochemistry & Molecular Genetics,28000,1.46,2013-2014,6th and up,biology
University of Alabama - Birmingham (UAB),Biochemistry & Molecular Genetics,23000,1.2,2007-2008,1st,biology
University of Alabama - Birmingham (UAB),Biochemistry & Molecular Genetics,23000,1.07,2018-2019,1st,biology
University of Miami (UM),Abess,28700,1.2,2018-2019,3rd,abess
Emory University,History,29900,1.28,2019-2020,4th,history
University of Washington (UW),Businesses school,32000,1.37,2018-2019,6th and up,business
Carnegie Mellon University (CMU),School of Computer Science,27600,1.33,2015-2016,5th,computer science
National Institutes of Health (NIH),NIH Oxford-Cambridge Scholars Program,39500,1.31,2019-2020,2nd,nih oxford-cambridge scholars program
University of Pennsylvania,Biomedical Graduate Studies/Biochemistry and Molecular Biophysics,34000,1.41,2019-2020,5th,chemistry
University of Delaware (UD),Earth Science,27024,1.06,2019-2020,2nd,geoscience
University of Alabama - Birmingham (UAB),GBS,30000,1.39,2018-2019,3rd,gbs
University of California - Berkeley,Helen Wills Neuroscience Institute,37000,1.33,2018-2019,4th,neuro
University of Chicago (UC),Chemistry,30000,1.38,2011-2012,1st,chemistry
Clemson University (CU),Plant and Environmental Sciences,20000,0.96,2019-2020,1st,agriculture
Florida State University (FSU),Biological Sciences,20520,0.88,2019-2020,4th,biological sciences
University of North Carolina - Chapel Hill (UNC),Phamacology,32500,1.46,2018-2019,3rd,phamacology
Washington University in St. Louis (Wash U),Plant and Microbial Biosciences,30500,1.48,2019-2020,2nd,agriculture
University of Minnesota - Twin Cities (UM),"Ecology, Evolution and Behavior",23800,1.04,2018-2019,3rd,"ecology, evolution and behavior"
University of Pittsburgh,Clinical Psychology,28810,1.39,2018-2019,2nd,psychology
University of Colorado - Denver (UCD),Integrated Physiology,31000,1.38,2019-2020,2nd,integrated physiology
Stanford University (SU),Geological Sciences,45200,1.57,2019-2020,5th,geoscience
Princeton University,Religion,32229,1.27,2019-2020,3rd,religion
Harvard University (HU),Neurobiology,39528,1.38,2018-2019,6th and up,biology
University of California - Irvine (UCI),Civil and Environmental Engineering,35000,1.2,2019-2020,3rd,civil and environmental engineering
Drexel University (DU),Neuroscience,29750,1.23,2018-2019,2nd,neuro
Northwestern University (NU),Earth and Planetary Sciences,31520,1.3,2018-2019,2nd,geoscience
Pennsylvania State University (Penn State),Entomology,28264,1.26,2018-2019,4th,entomology
University of Vermont (UVM),CMB,30000,1.15,2019-2020,4th,cmb
Ohio State University (OSU),Plant Pathology,25000,1.25,2018-2019,6th and up,agriculture
CUNY - City College,Biology,29880,1,2019-2020,2nd,biology
University of Texas - Dallas (UTD),BBS / Neuroscience,20000,0.93,2017-2018,5th,neuro
Virginia Tech,Entomology,21757,1.03,2018-2019,4th,entomology
University of Utah,Geology,23832,1.07,2017-2018,4th,geoscience
Vanderbilt University,Physics and Astronomy,29500,1.28,2019-2020,5th,physics
Texas Christian University (TCU),Physics & Astronomy,21000,0.96,2018-2019,NA,physics
University of California - Berkeley,Philosophy,33500,1.21,2018-2019,2nd,philosophy
Pennsylvania State University (Penn State),Chemistry,28900,1.29,2019-2020,3rd,chemistry
University at Buffalo - SUNY,PPBS,25900,1.23,2019-2020,1st,ppbs
University of Virginia (UVA),Psychology,24000,1.05,2019-2020,3rd,psychology
Vanderbilt University,Chemical and Biomolecular Engineering,29970,1.31,2018-2019,5th,chemical and biomolecular engineering
Harvard University (HU),Neuroscience,39528,1.38,2019-2020,5th,neuro
Cornell University (CU),Physics,36865,1.52,2019-2020,6th and up,physics
University of Delaware (UD),Chemical and Biomolecular Engineering,31200,1.23,2019-2020,1st,chemical and biomolecular engineering
University of Minnesota - Twin Cities (UM),Psychology,23870,1.04,2019-2020,5th,psychology
University of Washington (UW),Oceanography,34299,1.47,2019-2020,6th and up,oceanography
University of Tennessee - Knoxville,Earth & Planetary Sciences (EPS),12533,0.59,2019-2020,3rd,geoscience
Ohio State University (OSU),Astronomy,26500,1.32,2019-2020,1st,astronomy
Thomas Jefferson University,"Pathology, Anatomy, & Cell Biology",29500,1.22,2019-2020,6th and up,biology
University of Delaware (UD),Biomedical Engineering,27700,1.09,2018-2019,NA,biomedical engineering
Princeton University,Woodrow Wilson School,34500,1.36,2018-2019,5th,woodrow wilson school
Boston University (BU),Bioinformatics,33000,1.15,2018-2019,5th,bioinformatics
University of California - Los Angeles (UCLA),Physics and Biology in Medicine,32000,1.24,2019-2020,2nd,biology
Colorado School of Mines,Chemistry,26500,1.18,2019-2020,NA,chemistry
Bowling Green State University (BGSU),Media and Communication,13500,0.72,2019-2020,1st,communication
Dartmouth College,QBS,29940,1.21,2018-2019,2nd,qbs
University of Texas - Austin (UT),Biomedical Engineering,27000,1.18,2019-2020,5th,biomedical engineering
University of Florida (UF),Biomedical,28100,1.24,2018-2019,1st,biomedical
University of Southern California (USC),Molecular and computational biology,34000,1.31,2019-2020,1st,biology
Vanderbilt University,Earth and Environmental Sciences,29413,1.28,2018-2019,3rd,geoscience
University of Cincinnati (UC),Immunology,29000,1.5,2019-2020,1st,immunology
University of Michigan - Ann Arbor (UM),Biological chemistry,32739,1.42,2018-2019,1st,chemistry
University of Colorado - Boulder (UCB),Chemistry,31500,1.24,2018-2019,2nd,chemistry
University of North Carolina - Chapel Hill (UNC),environmental science and engineering,23000,1.03,2018-2019,3rd,environmental science and engineering
Rice University,"Earth, Environmental and Planetary Sciences",28217,1.29,2019-2020,1st,geoscience
University of North Carolina - Greensboro (UNCG),humans development and family studies,22600,1.05,2018-2019,NA,humans development and family studies
Arizona State University (ASU),Chemistry,26911,1.21,2019-2020,5th,chemistry
Johns Hopkins University (JHU),Biomedical Engineering,33800,1.31,2019-2020,1st,biomedical engineering
Stony Brook University - SUNY,Biomedical Engineering,27000,0.97,2019-2020,2nd,biomedical engineering
University of Kentucky (UK),Chemical and Materials Engineering,25214,1.24,2019-2020,1st,chemical and materials engineering
Michigan State University (MSU),Mathematics Education,32000,1.56,2019-2020,1st,mathematics education
University of California - Berkeley,Anthropology,28000,1.01,2018-2019,NA,anthropology
University of Florida (UF),Mechanical  and Aerospace Engineering,27500,1.21,2019-2020,1st,aerospace
University of Toledo,Physics,23750,1.26,2019-2020,1st,physics
Middle Tennessee State University (MTSU),Computational Science PhD,18000,0.78,2019-2020,NA,computational science phd
University at Buffalo - SUNY,History,27000,1.28,2019-2020,NA,history
University of Pennsylvania,NA,34000,1.41,2018-2019,NA,NA
University of Pennsylvania,Bmb,34000,1.41,2018-2019,1st,bmb
University of California - Los Angeles (UCLA),BBSB,34000,1.31,2018-2019,1st,bbsb
University of California - San Diego (UCSD),Neurosciences,34000,1.28,2018-2019,5th,neuro
University of Illinois - Urbana- Champaign (UIUC),Animal Sciences,22500,1.02,2018-2019,2nd,animal sciences
University of Notre Dame (ND),Department of chemistry,31000,1.51,2018-2019,NA,chemistry
Utah State University (USU),Behavior Analysis,15700,0.76,2019-2020,1st,behavior analysis
University of California - San Francisco (UCSF),Biomedical sciences,40000,1.34,2018-2019,3rd,biomedical sciences
Massachusetts Institute of Technology (MIT),Health sciences and technology,42000,1.5,2018-2019,1st,health
University of Oklahoma (OU),Chemistry,19551,0.97,2019-2020,2nd,chemistry
University of Oklahoma (OU),Chemistry,17036,0.85,2018-2019,1st,chemistry
Duke University (DU),University Program in Genetics and Genomics,31800,1.43,2019-2020,1st,biology
University of Texas Southwestern Medical Center - Dallas,NA,32500,1.51,2019-2020,1st,NA
University of Washington (UW),Molecular Engineering,33800,1.45,2019-2020,1st,molecular engineering
Yale University (YU),biostatistics,36000,1.46,2019-2020,1st,biostatistics
University of Chicago (UC),NA,36000,1.48,2018-2019,NA,NA
University of Vermont (UVM),Experimental Psychology,27000,1.04,2018-2019,1st,psychology
Johns Hopkins University (JHU),Art History,30000,1.17,2019-2020,NA,art history
Clemson University (CU),Automotive Engineering,17600,0.85,2019-2020,1st,automotive engineering
University of Alabama (UA),Civil engineering,21000,1,2019-2020,1st,civil engineering
Johns Hopkins University (JHU),Chemical Biomolecular Engineering,33750,1.31,2019-2020,1st,chemical biomolecular engineering
Tulane University (TU),Biomedical Science PhD,27260,1.18,2018-2019,3rd,biomedical science phd
University of Rochester (UR),Mechanical Engineering,28864,1.35,2019-2020,1st,mechanical engineering
Cornell University (CU),Development Sociology,27218,1.12,2018-2019,1st,development sociology
Clemson University (CU),Electrical and Computer Engineering,12500,0.6,2018-2019,2nd,computer science
Stanford University (SU),NA,41000,1.43,2019-2020,1st,NA
Boise State University (BSU),Sociology,18000,0.92,2018-2019,1st,sociology
Rice University,Ecology and Evolutionary Biology,24500,1.12,2019-2020,2nd,biology
University of Michigan - Ann Arbor (UM),climate and space sciences and engineering,32676,1.42,2019-2020,1st,aerospace
Clemson University (CU),Genetics,18000,0.86,2016-2017,5th,biology
Washington University in St. Louis (Wash U),Biology,30500,1.48,2018-2019,1st,biology
University of Michigan - Ann Arbor (UM),Ecology and Evolutionary Biology,27820,1.21,2019-2020,1st,biology
Rice University,Ecology and Evolutionary Biology,25788,1.18,2019-2020,5th,biology
University of Maryland - Baltimore (UMB),Molecular Medicine,26000,1.01,2019-2020,4th,molecular medicine
University of Delaware (UD),Marine biosciences,26498,1.04,2018-2019,2nd,marine biosciences
Brown University,EEB,29830,1.31,2018-2019,3rd,eeb
University of Massachusetts - Amherst (UMass),Environmental Conservation,25271,1.1,2019-2020,2nd,environmental conservation
Rutgers the State University of New Jersey - New Brunswick,"Molecular Biosciences PhD Program, Robert Wood Johnson Medical School",32000,1.24,2019-2020,5th,"molecular biosciences phd program, robert wood johnson medical school"
Northwestern University (NU),Computer Science,32360,1.33,2019-2020,4th,computer science
Emory University,Business,34088,1.46,2019-2020,1st,business
Harvard University (HU),Systems Biology,39800,1.39,2019-2020,2nd,biology
University of Michigan - Ann Arbor (UM),Chemistry,32000,1.39,2018-2019,1st,chemistry
North Carolina State University (NCSU),Genomics Sciences,24000,1.05,2018-2019,5th,genomics sciences
Texas Tech University (TTU),Texas Tech University Health Sciences Center (TTUHS) biomedical sciences,25000,1.23,2018-2019,2nd,health
University of Oklahoma (OU),Finance,28000,1.39,2019-2020,2nd,finance
Rice University,BioSciences,30650,1.4,2018-2019,1st,biosciences
Duke University (DU),Neurobiology,31800,1.43,2019-2020,2nd,biology
Colorado State University (CSU),MIP,24800,1.1,2019-2020,1st,mip
University of Colorado - Boulder (UCB),Chemistry,29296,1.15,2018-2019,1st,chemistry
San Diego State University (SDSU),Ecology,20860,0.79,2018-2019,3rd,ecology
Yale University (YU),Chemistry,36000,1.46,2019-2020,1st,chemistry
Johns Hopkins University (JHU),"Cell, Molecular, Developmental Biology and Biophysics",32500,1.26,2019-2020,3rd,biology
University of California - Santa Barbara (UCSB),chemical engineering,35000,1.33,2018-2019,NA,chemical engineering
University of Missouri (MU),Biochemistry,25000,1.22,2019-2020,NA,chemistry
University of Delaware (UD),materials science and engineering,27500,1.08,2018-2019,1st,materials science and engineering
University of Michigan - Ann Arbor (UM),Macromolecular Science and Engineering,33000,1.43,2019-2020,1st,macromolecular science and engineering
University of Pittsburgh,Mechanical Engineering,26970,1.3,2019-2020,1st,mechanical engineering
Clemson University (CU),NA,22000,1.06,2019-2020,1st,NA
Northwestern University (NU),Management and Organizations,35000,1.44,2018-2019,3rd,management and organizations
Indiana University,School of Medicine,27000,1.25,2019-2020,1st,school of medicine
University of California - Davis (UCD),GGI,32007,1.33,2018-2019,1st,ggi
Northwestern University (NU),marketing,35200,1.45,2018-2019,NA,marketing
Utah State University (USU),Biology,24548,1.19,2018-2019,1st,biology
University of Pennsylvania,Biology,32000,1.33,2019-2020,1st,biology
Worcester Polytechnic Institute (WPI),Bioinformatics,32700,1.45,2019-2020,1st,bioinformatics
University of California - Davis (UCD),Chemistry,29250,1.22,2018-2019,5th,chemistry
Massachusetts Institute of Technology (MIT),Chemistry,39056,1.4,2018-2019,3rd,chemistry
Boston University (BU),Earth and Environment,33250,1.16,2019-2020,3rd,geoscience
University of Southern California (USC),AME,31950,1.23,2019-2020,1st,ame
Emory University,Chemistry,30900,1.33,2018-2019,4th,chemistry
Duke University (DU),Chemistry,31000,1.39,2019-2020,1st,chemistry
Montana State University (MSU),Chemistry and Biochemistry,25000,1.19,2018-2019,2nd,chemistry
Dartmouth College,Thayer school of engineering,26400,1.07,2018-2019,2nd,thayer school of engineering
Arizona State University (ASU),School of molecular science,20780,0.94,2018-2019,5th,school of molecular science
Mississippi State University (MSU),Chemistry,24000,1.1,2019-2020,3rd,chemistry
Mississippi State University (MSU),Chemistry,19000,0.87,2019-2020,1st,chemistry
University of California - Berkeley,Chemical Engineering,36000,1.3,2019-2020,2nd,chemical engineering
Georgia Institute of Technology (Georgia Tech),Chemical,28600,1.23,2018-2019,1st,chemical
University of Nevada - Reno (UNR),AVRS,22000,1.05,2018-2019,2nd,avrs
University of Wisconsin - Madison (UW),Integrated Program in Biochemistry,27200,1.19,2018-2019,NA,chemistry
Arizona State University (ASU),Social Work,18500,0.83,2018-2019,2nd,social work
University of Pittsburgh,Psychology,29000,1.4,2019-2020,1st,psychology
University of Washington (UW),Chemical engineering,30000,1.29,2018-2019,1st,chemical engineering
University of Southern California (USC),Economics,29800,1.15,2018-2019,1st,economics
University of North Carolina - Chapel Hill (UNC),NA,27000,1.21,2018-2019,1st,NA
Rice University,Economics,27000,1.24,2018-2019,1st,economics
University of Memphis,Communication Sciences and Disorders,16800,0.75,2019-2020,5th,communication
University of Oklahoma (OU),Finance,26000,1.29,2018-2019,2nd,finance
Southern Illinois University - Carbondale (SIUC),Biology,23600,1.18,2019-2020,1st,biology
Stanford University (SU),Statistics,43000,1.5,2019-2020,1st,statistics
Rice University,EEB,25735,1.18,2018-2019,1st,eeb
Purdue University - West Lafayette,Sociology,24151,1.14,2018-2019,3rd,sociology
University of Florida (UF),Biomedical Engineering,30000,1.32,2018-2019,1st,biomedical engineering
Massachusetts Institute of Technology (MIT),Mechanical Engineering,39396,1.41,2019-2020,1st,mechanical engineering
University of Michigan - Ann Arbor (UM),Aerospace Engineering,32700,1.42,2019-2020,1st,aerospace
University of Illinois - Urbana- Champaign (UIUC),Chemistry,24000,1.09,2017-2018,NA,chemistry
Northeastern University (NU),Khoury College of Computer Sciences,33176,1.16,2018-2019,1st,computer science
University at Buffalo - SUNY,Music,17500,0.83,2018-2019,2nd,music
University at Buffalo - SUNY,Geography,17000,0.81,2018-2019,2nd,geoscience
Yale University (YU),Experimental Pathology,35000,1.42,2018-2019,1st,experimental pathology
University of California - Berkeley,Materials Science,35414,1.28,2019-2020,2nd,materials science
Case Western Reserve University,Biomedical Engineering,31000,1.55,2018-2019,1st,biomedical engineering
University of Florida (UF),Biology,22263,0.98,2019-2020,1st,biology
Northwestern University (NU),Marketing,32500,1.34,2018-2019,5th,marketing
Harvard University (HU),Government,36000,1.26,2019-2020,2nd,government
Columbia University (CU),English,34116,1.15,2019-2020,1st,english
Johns Hopkins University (JHU),Neuroscience,33551,1.3,2019-2020,2nd,neuro
Harvard University (HU),School of Engineering and Applied Sciences,37882,1.32,2019-2020,1st,school of engineering and applied sciences
Columbia University (CU),Nursing,24000,0.81,2018-2019,2nd,nursing
University of Miami (UM),Environmental Science and Policy,31224,1.31,2019-2020,1st,environmental science and policy
University of Houston (UH),Psychology,21000,0.96,2018-2019,5th,psychology
Florida International University (FIU),Chemistry and Biochemistry,18100,0.76,2018-2019,1st,chemistry
Vanderbilt University,Quantitative Chemical Biology (through VUMC),31500,1.37,2018-2019,1st,biology
University of Houston (UH),Computer Science,22000,1.01,2019-2020,6th and up,computer science
University of Chicago (UC),Molecular Engineering,34000,1.4,2019-2020,1st,molecular engineering
Oregon Health and Science University,Molecular microbiology and immunology,32004,1.37,2019-2020,3rd,biology
University of Mississippi Medical Center,Graduate Studies,28000,1.38,2019-2020,4th,graduate studies
Pennsylvania State University (Penn State),Biostatistics,30462,1.36,2019-2020,4th,biostatistics
Duke University (DU),Chemistry,30453,1.37,2019-2020,1st,chemistry
North Carolina State University (NCSU),Geospatial Analytics,22369,0.98,2019-2020,1st,geoscience
North Carolina State University (NCSU),Geospatial Analytics,22400,0.98,2018-2019,2nd,geoscience
University of Arkansas for Medical Sciences,GPIBS,24900,1.19,2018-2019,1st,gpibs
CUNY Graduate School and University Center,Musicology,25000,0.84,2018-2019,2nd,musicology
University of Vermont (UVM),Medicine,29600,1.14,2018-2019,1st,medicine
University of California - Irvine (UCI),Pharmaceutical Sciences,30000,1.03,2019-2020,1st,pharmacyceutical sciences
Brown University,Political Science,33676,1.48,2019-2020,3rd,political science
University of Wisconsin - Madison (UW),Geoscience,25156,1.1,2019-2020,2nd,geoscience
North Carolina State University (NCSU),Mechanical engineering,19200,0.84,2018-2019,1st,mechanical engineering
Massachusetts Institute of Technology (MIT),IDSS/Social and Engineering Systems,42700,1.53,2018-2019,3rd,idss/social and engineering systems
Washington University in St. Louis (Wash U),Computer Science,29000,1.4,2018-2019,2nd,computer science
Drexel University (DU),Materials Science and Engineering,26000,1.08,2018-2019,NA,materials science and engineering
California Institute of Technology (Caltech),NA,35000,1.35,2018-2019,2nd,NA
University of Texas - Austin (UT),ICMB,30000,1.31,2018-2019,3rd,icmb
Drexel University (DU),Civil Architectural,26400,1.1,2019-2020,NA,civil architectural
University of California - Los Angeles (UCLA),psychology,26944,1.04,2019-2020,1st,psychology
University of Massachusetts Medical Center - Worcester,NA,31000,1.37,2018-2019,1st,NA
Florida International University (FIU),Computer Science,25100,1.05,2018-2019,2nd,computer science
Massachusetts Institute of Technology (MIT),management,43000,1.54,2019-2020,1st,management
Purdue University - West Lafayette,Biological sciences,24000,1.13,2019-2020,3rd,biological sciences
University of Alabama (UA),Computer Sciene,20000,0.95,2018-2019,1st,computer science
Brown University,Sociology,28000,1.23,2019-2020,3rd,sociology
Medical College of Wisconsin,Public and Community Health,33600,1.56,2019-2020,2nd,health
Carnegie Mellon University (CMU),chemical engineerin,31000,1.5,2018-2019,1st,chemical engineerin
Wayne State University,Pharmacology,23500,1.13,2018-2019,3rd,pharmacycology
Wayne State University,Pharmacology,25500,1.22,2018-2019,3rd,pharmacycology
Northwestern University (NU),Computer Science,32344,1.33,2018-2019,2nd,computer science
Stanford University (SU),Physics,40476,1.41,2019-2020,1st,physics
Stanford University (SU),Biology,34000,1.18,2015-2016,NA,biology
Duke University (DU),UPGG,31800,1.43,2018-2019,NA,upgg
University of California - Los Angeles (UCLA),Ecology and Evolutionary Biology,28000,1.08,2018-2019,3rd,biology
Stony Brook University - SUNY,Materials Science and Chemical Engineering,19436,0.7,2018-2019,2nd,materials science and chemical engineering
Case Western Reserve University,BSTP,30000,1.5,2018-2019,1st,bstp
Indiana University,Cognitive Science,22000,1.02,2019-2020,1st,cognitive science
University of Michigan - Ann Arbor (UM),Physics,32600,1.41,2019-2020,1st,physics
Mayo Medical School,Molecular Pharmacology and Experimental Therpuetics,32775,1.45,2018-2019,4th,pharmacycology and experimental therpuetics
University of Nevada - Reno (UNR),Chemistry,21200,1.01,2018-2019,4th,chemistry
Harvard University (HU),School of Engineering and Applied Sciences,37932,1.32,2019-2020,1st,school of engineering and applied sciences
Vanderbilt University,Interdisciplinary Graduate Program (IGP),31500,1.37,2019-2020,1st,interdisciplinary graduate program (igp)
Georgia Institute of Technology (Georgia Tech),School of Chemistry and Biochemistry,24140,1.04,2018-2019,5th,chemistry
Purdue University - West Lafayette,PULSe,23100,1.09,2018-2019,3rd,pulse
Purdue University - West Lafayette,Agronomy,20488,0.97,2019-2020,3rd,agronomy
University of Washington (UW),immunobiology,25000,1.07,2018-2019,NA,biology
University of Pennsylvania,Earth & Environmental Sciences,34558,1.43,2019-2020,1st,geoscience
University of California - Berkeley,"Environmental Science, Policy, and Management",32500,1.17,2018-2019,2nd,"environmental science, policy, and management"
University of Tulsa (TU),NA,24000,1.21,2019-2020,1st,NA
University of Vermont (UVM),"Cellular, Molecular, and Biomedical Sciences",27894,1.07,2019-2020,3rd,biology
Northwestern University (NU),Earth and Planetary sciences,23500,0.97,2018-2019,2nd,geoscience
University of Michigan - Ann Arbor (UM),Computer Science,30067,1.3,2018-2019,2nd,computer science
University of Arizona (U of A),pharmacology and toxicology,26500,1.28,2019-2020,1st,pharmacycology and toxicology
Oregon State University (OSU),Crop and Soil science,23500,1.12,2018-2019,2nd,agriculture
University of Idaho (UI),Physics,14000,0.67,2018-2019,1st,physics
University of Connecticut (UConn),Finance,24000,0.99,2018-2019,1st,finance
University of California - Berkeley,Chemistry,34360,1.24,2019-2020,3rd,chemistry
Yale University (YU),Anthropology,31800,1.29,2019-2020,3rd,anthropology
University of Houston (UH),Psychology,17880,0.82,2018-2019,4th,psychology
